label	definition	caption
Inside, public space	The ambient noise generated by people talking, walking, and other activities in an enclosed public area, characterized by a mix of voices, footsteps, and background sounds.	
gunshot	A sharp, explosive sound produced by the discharge of a firearm, characterized by a short duration and high intensity, often heard in urban or rural environments where firearms are used.	
Fill (with liquid)	The sound of liquid being poured or added to a container, characterized by the splashing or sloshing of the liquid against the container walls. Often heard in kitchens, bars, or other settings where liquids are served or stored.	
engine_idling	The steady, rhythmic sound produced by an engine when it is running at a low speed, typically heard in vehicles, generators, or other machinery.	
person-or-small-group-shouting	Loud, high-pitched vocalizations produced by people, characterized by rapid, rhythmic bursts of sound, often heard in public spaces or during social gatherings.	
Zipper (clothing)	The metallic or plastic fastener used to close or open garments, characterized by a distinctive, sharp sound when opened or closed, typically heard in clothing stores, fashion shows, or daily life.	
Alarm	A high-pitched, electronic sound designed to alert people of danger or potential hazard, often heard in residential or commercial settings, such as smoke detectors, car alarms, or security systems.	
Smallenginge	A small, high-pitched musical instrument with a metallic sound, often used in folk music or children's games.	
Tambourine	A handheld percussion instrument consisting of metal jingles attached to a frame, producing a bright, rhythmic sound when shaken.	
Talking	The act of verbal communication, characterized by the production of speech sounds through the movement of the lips, tongue, and vocal cords.	
Wind chime	A melodic, soft sound produced by wind blowing through metal or bamboo tubes, often associated with outdoor settings and gentle breezes.	
Tick	A short, sharp sound, typically heard in clocks or watches, produced by a mechanical mechanism.	
Truck	A heavy-duty vehicle designed for transporting goods, characterized by its loud, rhythmic engine noise and occasional rattling or clanking sounds from the wheels and brakes.	
Train horn	A loud, high-pitched sound emitted by a train's horn, often heard in urban or suburban areas, warning of an approaching train and signaling its presence.	
chirping_birds	A melodic, trilling vocalization produced by birds, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk, and characterized by unique patterns, pitches, and rhythms.	
Trickle, dribble	A faint, continuous sound produced by the flow of liquid over a narrow surface, often heard in sinks, faucets, or waterfalls.	
Vacuum cleaner	A cleaning device that uses suction to remove dirt and debris from floors, carpets, and other surfaces. The sound produced is characterized by a rhythmic, low-pitched hum, often heard when the machine is in operation.	
Drum_kit	A collection of percussion instruments, including drums, cymbals, and other tuned or untuned percussion, producing a rich, rhythmic sound often used in music and other audio productions.	
Computer_keyboard	A mechanical device used for inputting text and numbers into a computer, characterized by a series of keys that produce distinct sounds when pressed.	
Scratching (performance technique)	A percussive technique used in DJing and turntablism, where the DJ manipulates the vinyl record by moving the needle back and forth rapidly, creating a rhythmic, scratching sound.	
Keyboard (musical)	A musical instrument consisting of a set of keys played with fingers, producing a unique sound based on the key pressed. Often used in classical, jazz, and electronic music.	
glass_breaking	The sharp, crackling sound produced when glass is shattered or broken, often accompanied by a tinkling or chiming effect. Typically heard in settings where glass objects are present, such as homes, restaurants, or construction sites.	
